Hostname,OS,Version,Software,IP Address,Asset Tag,Owner,Environment,Location,Lifecycle Status,Patch Level,Last Scanned,Criticality,Business Service,Installed Software,Security Agent Status,Backup Status,Running Services,Normalized OS,Normalized Software
dc-server-703,Windows Server,2022,IIS,10.0.3.196,SYS-000703,user69@example.com,Production,DAL1-RK14-U15,In Use,2025-03-23,2025-04-16,Low,Billing,"Node.js, Java, .NET",Offline,Success (Last: 2025-04-17),"Ansible, W3SVC, MSSQL",Windows Server,".NET, IIS, JAVA, NODE.JS"
dc-server-704,Linux Server,RHEL 8,Redis,10.0.3.197,SYS-000704,user92@example.com,QA,DAL1-RK16-U18,In Use,2025-04-17,2025-04-17,Low,Web Portal,".NET, Nessus, Node.js",Online,Success (Last: 2025-04-19),"Ansible, Docker, MSSQL",Windows Server,".NET, DOCKER, NODE.JS, REDIS"
dc-server-705,Linux Server,RHEL 8,Redis,10.0.3.198,SYS-000705,user2@example.com,Dev,DAL1-RK17-U07,In Use,2025-03-29,2025-04-14,Low,Web Portal,"CrowdStrike, Tenable, Java",Online,Success (Last: 2025-04-16),"W3SVC, Puppet, Ansible",Cross-platform,"CROWDSTRIKE, JAVA, REDIS"
dc-server-706,Linux Server,Debian 11,Nginx,10.0.3.199,SYS-000706,user26@example.com,QA,DAL1-RK11-U08,Maintenance,2025-04-20,2025-04-15,High,Analytics,"Tenable, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-18),"Puppet, Ansible, MSSQL",Cross-platform,"CROWDSTRIKE, NGINX"
dc-server-707,Linux Server,RHEL 8,Redis,10.0.3.200,SYS-000707,user19@example.com,Dev,DAL1-RK20-U02,In Use,2025-04-13,2025-04-17,Low,HRMS,"CrowdStrike, Java, Nessus",Online,Success (Last: 2025-04-18),"Ansible, Puppet, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, REDIS"
dc-server-708,Windows Server,2019,Nginx,10.0.3.201,SYS-000708,user87@example.com,Dev,DAL1-RK13-U05,Maintenance,2025-03-31,2025-04-21,Medium,Web Portal,"Java, Nessus, Tenable",Online,Success (Last: 2025-04-16),"W3SVC, Docker, Ansible",Linux Server,"DOCKER, JAVA, NGINX"
dc-server-709,Windows Server,2022,Apache,10.0.3.202,SYS-000709,user12@example.com,QA,DAL1-RK03-U12,Maintenance,2025-04-21,2025-04-14,High,ERP,"Tenable, .NET, Nessus",Offline,Success (Last: 2025-04-21),"MSSQL, Docker, Ansible",Windows Server,".NET, APACHE, DOCKER"
dc-server-710,Windows Server,2019,Node.js,10.0.3.203,SYS-000710,user18@example.com,Production,DAL1-RK13-U04,Maintenance,2025-04-04,2025-04-16,Medium,ERP,"Java, .NET, Node.js",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, Docker, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-711,Linux Server,Ubuntu 20.04,Node.js,10.0.3.204,SYS-000711,user89@example.com,Dev,DAL1-RK18-U03,Maintenance,2025-04-09,2025-04-20,High,ERP,".NET, CrowdStrike, Tenable",Online,Success (Last: 2025-04-17),"Puppet, CrowdStrikeSensor, W3SVC",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-712,Windows Server,2019,Apache,10.0.3.205,SYS-000712,user84@example.com,QA,DAL1-RK11-U10,Maintenance,2025-04-20,2025-04-21,High,Web Portal,"CrowdStrike, Tenable, Node.js",Online,Success (Last: 2025-04-17),"Puppet, CrowdStrikeSensor, MSSQL",Cross-platform,"APACHE, CROWDSTRIKE, NODE.JS"
dc-server-713,Linux Server,Ubuntu 20.04,IIS,10.0.3.206,SYS-000713,user83@example.com,QA,DAL1-RK14-U10,Maintenance,2025-03-22,2025-04-17,Medium,Analytics,".NET, CrowdStrike, Node.js",Online,Success (Last: 2025-04-16),"Ansible, MSSQL, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS, NODE.JS"
dc-server-714,Linux Server,Debian 11,Nginx,10.0.3.207,SYS-000714,user79@example.com,QA,DAL1-RK02-U09,Maintenance,2025-03-30,2025-04-15,Medium,Billing,".NET, Nessus, Node.js",Online,Success (Last: 2025-04-19),"Ansible, Docker, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, DOCKER, NGINX, NODE.JS"
dc-server-715,Windows Server,2019,Apache,10.0.3.208,SYS-000715,user28@example.com,Dev,DAL1-RK18-U18,In Use,2025-04-17,2025-04-20,Low,HRMS,"Java, CrowdStrike, .NET",Offline,Success (Last: 2025-04-20),"CrowdStrikeSensor, Ansible, Docker",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER, JAVA"
dc-server-716,Windows Server,2022,Apache,10.0.3.209,SYS-000716,user11@example.com,QA,DAL1-RK07-U18,In Use,2025-03-26,2025-04-20,High,HRMS,"Tenable, CrowdStrike, .NET",Online,Success (Last: 2025-04-18),"Puppet, Ansible, Docker",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER"
dc-server-717,Linux Server,Ubuntu 20.04,Node.js,10.0.3.210,SYS-000717,user22@example.com,QA,DAL1-RK16-U14,Maintenance,2025-04-05,2025-04-20,Low,Analytics,".NET, Tenable, Java",Offline,Success (Last: 2025-04-19),"W3SVC, Docker, MSSQL",Windows Server,".NET, DOCKER, JAVA, NODE.JS"
dc-server-718,Windows Server,2022,Nginx,10.0.3.211,SYS-000718,user57@example.com,Production,DAL1-RK01-U09,Maintenance,2025-04-13,2025-04-21,Medium,Billing,"CrowdStrike, .NET, Nessus",Offline,Success (Last: 2025-04-18),"Puppet, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NGINX"
dc-server-719,Windows Server,2022,Node.js,10.0.3.212,SYS-000719,user15@example.com,Production,DAL1-RK08-U20,In Use,2025-04-04,2025-04-19,Medium,Web Portal,"CrowdStrike, Nessus, .NET",Online,Success (Last: 2025-04-16),"Ansible, MSSQL, Puppet",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-720,Linux Server,RHEL 8,Nginx,10.0.3.213,SYS-000720,user59@example.com,Dev,DAL1-RK17-U20,In Use,2025-04-03,2025-04-20,High,Web Portal,".NET, CrowdStrike, Java",Online,Success (Last: 2025-04-17),"CrowdStrikeSensor, Docker, Puppet",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NGINX"
dc-server-721,Windows Server,2022,Docker,10.0.3.214,SYS-000721,user75@example.com,QA,DAL1-RK17-U01,In Use,2025-04-05,2025-04-19,Low,HRMS,".NET, Node.js, Tenable",Offline,Success (Last: 2025-04-21),"Puppet, CrowdStrikeSensor, Ansible",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-722,Windows Server,2022,Redis,10.0.3.215,SYS-000722,user48@example.com,QA,DAL1-RK03-U03,In Use,2025-04-21,2025-04-17,High,Billing,"Tenable, CrowdStrike, Nessus",Online,Success (Last: 2025-04-20),"CrowdStrikeSensor, Ansible, W3SVC",Cross-platform,"CROWDSTRIKE, REDIS"
dc-server-723,Linux Server,Debian 11,Apache,10.0.3.216,SYS-000723,user85@example.com,Dev,DAL1-RK03-U16,Maintenance,2025-03-26,2025-04-16,Medium,Billing,"Tenable, Nessus, Node.js",Offline,Success (Last: 2025-04-21),"Ansible, Puppet, Docker",Linux Server,"APACHE, DOCKER, NODE.JS"
dc-server-724,Linux Server,Debian 11,Tomcat,10.0.3.217,SYS-000724,user98@example.com,QA,DAL1-RK20-U04,In Use,2025-04-02,2025-04-18,Low,Billing,"Nessus, Tenable, Node.js",Online,Success (Last: 2025-04-17),"W3SVC, Puppet, Docker",Linux Server,"DOCKER, NODE.JS, TOMCAT"
dc-server-725,Linux Server,RHEL 8,Node.js,10.0.3.218,SYS-000725,user30@example.com,Dev,DAL1-RK11-U09,Maintenance,2025-04-18,2025-04-20,Low,ERP,"Nessus, .NET, Tenable",Online,Success (Last: 2025-04-19),"MSSQL, W3SVC, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-726,Linux Server,Ubuntu 20.04,SQL Server,10.0.3.219,SYS-000726,user1@example.com,Production,DAL1-RK18-U03,In Use,2025-04-03,2025-04-15,Medium,Billing,".NET, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-16),"MSSQL, Docker, Puppet",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS, SQL SERVER"
dc-server-727,Windows Server,2019,Node.js,10.0.3.220,SYS-000727,user41@example.com,Production,DAL1-RK14-U01,Maintenance,2025-04-08,2025-04-21,Low,Analytics,"Tenable, .NET, Node.js",Online,Success (Last: 2025-04-21),"Docker, Puppet, Ansible",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-728,Linux Server,Ubuntu 20.04,Redis,10.0.3.221,SYS-000728,user25@example.com,QA,DAL1-RK03-U16,Maintenance,2025-04-16,2025-04-15,Medium,HRMS,"Tenable, .NET, Nessus",Online,Success (Last: 2025-04-17),"MSSQL, Puppet, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, REDIS"
dc-server-729,Linux Server,Ubuntu 20.04,SQL Server,10.0.3.222,SYS-000729,user33@example.com,Production,DAL1-RK16-U09,In Use,2025-03-31,2025-04-14,Low,Web Portal,"Nessus, Tenable, CrowdStrike",Offline,Success (Last: 2025-04-17),"Puppet, Docker, W3SVC",Windows Server,"CROWDSTRIKE, DOCKER, SQL SERVER"
dc-server-730,Windows Server,2022,Docker,10.0.3.223,SYS-000730,user37@example.com,QA,DAL1-RK16-U19,Maintenance,2025-04-16,2025-04-16,High,Analytics,".NET, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-21),"Docker, W3SVC, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-731,Linux Server,RHEL 8,IIS,10.0.3.224,SYS-000731,user58@example.com,QA,DAL1-RK03-U18,Maintenance,2025-04-01,2025-04-21,Medium,ERP,"Java, .NET, Node.js",Online,Success (Last: 2025-04-19),"CrowdStrikeSensor, Puppet, Ansible",Windows Server,".NET, CROWDSTRIKE, IIS, JAVA, NODE.JS"
dc-server-732,Windows Server,2022,Docker,10.0.3.225,SYS-000732,user29@example.com,Production,DAL1-RK10-U06,In Use,2025-04-03,2025-04-17,Low,Analytics,"CrowdStrike, Node.js, .NET",Offline,Success (Last: 2025-04-20),"Docker, CrowdStrikeSensor, Puppet",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-733,Linux Server,RHEL 8,Apache,10.0.3.226,SYS-000733,user51@example.com,Production,DAL1-RK10-U13,In Use,2025-04-08,2025-04-16,High,HRMS,"Node.js, Nessus, Java",Offline,Success (Last: 2025-04-18),"MSSQL, Docker, W3SVC",Linux Server,"APACHE, DOCKER, JAVA, NODE.JS"
dc-server-734,Windows Server,2019,Redis,10.0.3.227,SYS-000734,user43@example.com,Dev,DAL1-RK02-U13,In Use,2025-03-25,2025-04-16,High,HRMS,"Java, Tenable, .NET",Online,Success (Last: 2025-04-16),"Ansible, CrowdStrikeSensor, Puppet",Windows Server,".NET, CROWDSTRIKE, JAVA, REDIS"
dc-server-735,Windows Server,2022,Apache,10.0.3.228,SYS-000735,user67@example.com,Dev,DAL1-RK08-U04,Maintenance,2025-03-31,2025-04-17,High,Billing,"Tenable, Java, CrowdStrike",Online,Success (Last: 2025-04-19),"Ansible, MSSQL, Puppet",Cross-platform,"APACHE, CROWDSTRIKE, JAVA"
dc-server-736,Windows Server,2022,Node.js,10.0.3.229,SYS-000736,user57@example.com,Production,DAL1-RK19-U18,In Use,2025-04-03,2025-04-20,Low,Web Portal,"Node.js, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-18),"Docker, CrowdStrikeSensor, W3SVC",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-737,Windows Server,2019,Docker,10.0.3.230,SYS-000737,user11@example.com,Dev,DAL1-RK04-U13,Maintenance,2025-03-27,2025-04-21,Low,Analytics,"Java, Node.js, Tenable",Online,Success (Last: 2025-04-19),"CrowdStrikeSensor, MSSQL, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-738,Windows Server,2022,Apache,10.0.3.231,SYS-000738,user96@example.com,Production,DAL1-RK01-U15,Maintenance,2025-04-09,2025-04-18,Low,Billing,"Node.js, .NET, CrowdStrike",Online,Success (Last: 2025-04-18),"Docker, MSSQL, CrowdStrikeSensor",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-739,Linux Server,Ubuntu 20.04,Redis,10.0.3.232,SYS-000739,user58@example.com,Production,DAL1-RK11-U14,Maintenance,2025-04-05,2025-04-14,Medium,Billing,".NET, Tenable, CrowdStrike",Offline,Success (Last: 2025-04-19),"Puppet, MSSQL, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, REDIS"
dc-server-740,Linux Server,Debian 11,SQL Server,10.0.3.233,SYS-000740,user87@example.com,Production,DAL1-RK16-U13,Maintenance,2025-03-30,2025-04-15,High,ERP,".NET, Nessus, Tenable",Offline,Success (Last: 2025-04-18),"CrowdStrikeSensor, Ansible, W3SVC",Windows Server,".NET, CROWDSTRIKE, SQL SERVER"
dc-server-741,Linux Server,RHEL 8,Apache,10.0.3.234,SYS-000741,user39@example.com,Production,DAL1-RK08-U18,Maintenance,2025-04-10,2025-04-21,Medium,Web Portal,"Tenable, Java, CrowdStrike",Offline,Success (Last: 2025-04-19),"W3SVC, Docker, Puppet",Cross-platform,"APACHE, CROWDSTRIKE, DOCKER, JAVA"
dc-server-742,Linux Server,RHEL 8,Redis,10.0.3.235,SYS-000742,user10@example.com,Production,DAL1-RK16-U15,In Use,2025-04-11,2025-04-16,Low,ERP,"Java, .NET, Nessus",Offline,Success (Last: 2025-04-18),"MSSQL, W3SVC, Ansible",Windows Server,".NET, JAVA, REDIS"
dc-server-743,Windows Server,2019,Docker,10.0.3.236,SYS-000743,user56@example.com,QA,DAL1-RK18-U14,Maintenance,2025-04-03,2025-04-17,Medium,HRMS,"Tenable, Node.js, .NET",Online,Success (Last: 2025-04-21),"W3SVC, Ansible, Puppet",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-744,Linux Server,RHEL 8,Apache,10.0.3.237,SYS-000744,user2@example.com,Production,DAL1-RK08-U15,Maintenance,2025-04-03,2025-04-16,Medium,HRMS,"Tenable, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-16),"MSSQL, W3SVC, Ansible",Cross-platform,"APACHE, CROWDSTRIKE"
dc-server-745,Linux Server,Ubuntu 20.04,SQL Server,10.0.3.238,SYS-000745,user81@example.com,Dev,DAL1-RK16-U05,In Use,2025-03-22,2025-04-18,Medium,Web Portal,"Java, .NET, Tenable",Offline,Success (Last: 2025-04-16),"Puppet, W3SVC, MSSQL",Windows Server,".NET, JAVA, SQL SERVER"
dc-server-746,Windows Server,2019,Apache,10.0.3.239,SYS-000746,user14@example.com,Production,DAL1-RK14-U17,Maintenance,2025-03-25,2025-04-18,High,Analytics,".NET, CrowdStrike, Java",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, W3SVC, Ansible",Windows Server,".NET, APACHE, CROWDSTRIKE, JAVA"
dc-server-747,Windows Server,2019,Redis,10.0.3.240,SYS-000747,user37@example.com,Production,DAL1-RK12-U14,In Use,2025-04-20,2025-04-14,High,HRMS,".NET, Java, Node.js",Online,Success (Last: 2025-04-17),"Docker, CrowdStrikeSensor, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NODE.JS, REDIS"
dc-server-748,Linux Server,Debian 11,Redis,10.0.3.241,SYS-000748,user11@example.com,Production,DAL1-RK11-U18,Maintenance,2025-03-23,2025-04-16,High,Analytics,"Java, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-17),"Docker, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, REDIS"
dc-server-749,Windows Server,2022,Docker,10.0.3.242,SYS-000749,user100@example.com,Dev,DAL1-RK07-U17,Maintenance,2025-04-15,2025-04-21,Medium,Billing,"Tenable, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, W3SVC, MSSQL",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-750,Windows Server,2019,Tomcat,10.0.3.243,SYS-000750,user37@example.com,Production,DAL1-RK05-U10,In Use,2025-04-07,2025-04-21,High,HRMS,".NET, Java, CrowdStrike",Offline,Success (Last: 2025-04-16),"W3SVC, CrowdStrikeSensor, MSSQL",Windows Server,".NET, CROWDSTRIKE, JAVA, TOMCAT"
dc-server-751,Linux Server,Debian 11,Tomcat,10.0.3.244,SYS-000751,user96@example.com,Dev,DAL1-RK07-U13,In Use,2025-04-14,2025-04-21,Medium,Web Portal,"Tenable, CrowdStrike, Java",Online,Success (Last: 2025-04-19),"W3SVC, CrowdStrikeSensor, Ansible",Cross-platform,"CROWDSTRIKE, JAVA, TOMCAT"
dc-server-752,Windows Server,2019,Redis,10.0.3.245,SYS-000752,user28@example.com,Dev,DAL1-RK16-U04,Maintenance,2025-04-16,2025-04-14,Low,HRMS,".NET, Nessus, Java",Online,Success (Last: 2025-04-20),"MSSQL, Puppet, Ansible",Windows Server,".NET, JAVA, REDIS"
dc-server-753,Linux Server,Ubuntu 20.04,Node.js,10.0.3.246,SYS-000753,user24@example.com,Dev,DAL1-RK07-U04,Maintenance,2025-04-06,2025-04-18,Medium,HRMS,"CrowdStrike, Node.js, Nessus",Online,Success (Last: 2025-04-16),"Docker, Puppet, W3SVC",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-754,Windows Server,2022,IIS,10.0.3.247,SYS-000754,user24@example.com,QA,DAL1-RK07-U10,In Use,2025-04-19,2025-04-14,High,Billing,"Node.js, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-17),"Ansible, Docker, W3SVC",Windows Server,"CROWDSTRIKE, DOCKER, IIS, NODE.JS"
dc-server-755,Linux Server,Ubuntu 20.04,Docker,10.0.3.248,SYS-000755,user31@example.com,Production,DAL1-RK08-U11,In Use,2025-04-05,2025-04-15,Low,Web Portal,"Node.js, Tenable, Nessus",Offline,Success (Last: 2025-04-16),"Puppet, Ansible, MSSQL",Linux Server,"DOCKER, NODE.JS"
dc-server-756,Linux Server,Debian 11,IIS,10.0.3.249,SYS-000756,user22@example.com,Dev,DAL1-RK10-U16,In Use,2025-04-16,2025-04-20,Medium,Web Portal,"Java, .NET, Tenable",Offline,Success (Last: 2025-04-18),"Docker, W3SVC, MSSQL",Windows Server,".NET, DOCKER, IIS, JAVA"
dc-server-757,Linux Server,Ubuntu 20.04,IIS,10.0.3.250,SYS-000757,user77@example.com,Dev,DAL1-RK07-U01,In Use,2025-04-10,2025-04-17,High,Web Portal,".NET, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-16),"CrowdStrikeSensor, W3SVC, Puppet",Windows Server,".NET, CROWDSTRIKE, IIS"
dc-server-758,Linux Server,Debian 11,Redis,10.0.3.251,SYS-000758,user100@example.com,Dev,DAL1-RK13-U05,In Use,2025-04-06,2025-04-19,Medium,HRMS,"Java, CrowdStrike, Node.js",Online,Success (Last: 2025-04-21),"Ansible, Docker, Puppet",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, REDIS"
dc-server-759,Windows Server,2022,Tomcat,10.0.3.252,SYS-000759,user55@example.com,Production,DAL1-RK14-U17,Maintenance,2025-04-07,2025-04-14,Low,ERP,"Java, .NET, Node.js",Online,Success (Last: 2025-04-21),"CrowdStrikeSensor, Puppet, MSSQL",Windows Server,".NET, CROWDSTRIKE, JAVA, NODE.JS, TOMCAT"
dc-server-760,Windows Server,2022,Redis,10.0.3.253,SYS-000760,user49@example.com,Dev,DAL1-RK15-U17,In Use,2025-03-23,2025-04-18,Medium,HRMS,".NET, Tenable, Java",Online,Success (Last: 2025-04-18),"Puppet, Ansible, W3SVC",Windows Server,".NET, JAVA, REDIS"
dc-server-761,Windows Server,2022,Redis,10.0.3.254,SYS-000761,user58@example.com,Production,DAL1-RK04-U04,In Use,2025-03-28,2025-04-17,Low,ERP,"Java, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-21),"W3SVC, Puppet, MSSQL",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS, REDIS"
dc-server-762,Linux Server,RHEL 8,Docker,10.0.4.1,SYS-000762,user41@example.com,Dev,DAL1-RK15-U07,In Use,2025-04-18,2025-04-21,High,Billing,"Nessus, Tenable, .NET",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, Ansible, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER"
dc-server-763,Linux Server,Ubuntu 20.04,Nginx,10.0.4.2,SYS-000763,user100@example.com,Dev,DAL1-RK20-U09,In Use,2025-04-14,2025-04-17,Medium,Billing,"Node.js, .NET, Tenable",Offline,Success (Last: 2025-04-17),"MSSQL, W3SVC, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NGINX, NODE.JS"
dc-server-764,Linux Server,Debian 11,Tomcat,10.0.4.3,SYS-000764,user65@example.com,Dev,DAL1-RK18-U20,In Use,2025-03-31,2025-04-18,High,Analytics,"Node.js, Tenable, Nessus",Offline,Success (Last: 2025-04-17),"Docker, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, TOMCAT"
dc-server-765,Windows Server,2019,Apache,10.0.4.4,SYS-000765,user46@example.com,QA,DAL1-RK20-U05,In Use,2025-03-30,2025-04-19,High,Analytics,".NET, Node.js, Nessus",Offline,Success (Last: 2025-04-17),"Docker, Ansible, CrowdStrikeSensor",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-766,Windows Server,2019,Tomcat,10.0.4.5,SYS-000766,user92@example.com,Dev,DAL1-RK01-U06,In Use,2025-03-29,2025-04-17,Medium,Web Portal,"Tenable, Node.js, Nessus",Online,Success (Last: 2025-04-18),"W3SVC, Ansible, Puppet",Linux Server,"NODE.JS, TOMCAT"
dc-server-767,Windows Server,2019,IIS,10.0.4.6,SYS-000767,user39@example.com,QA,DAL1-RK05-U16,Maintenance,2025-04-11,2025-04-21,Low,Web Portal,"Nessus, Java, Node.js",Online,Success (Last: 2025-04-16),"W3SVC, MSSQL, Ansible",Windows Server,"IIS, JAVA, NODE.JS"
dc-server-768,Linux Server,Ubuntu 20.04,Redis,10.0.4.7,SYS-000768,user99@example.com,Production,DAL1-RK17-U13,Maintenance,2025-03-25,2025-04-18,Medium,Web Portal,".NET, CrowdStrike, Java",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, W3SVC, Ansible",Windows Server,".NET, CROWDSTRIKE, JAVA, REDIS"
dc-server-769,Windows Server,2019,Node.js,10.0.4.8,SYS-000769,user40@example.com,Dev,DAL1-RK19-U14,Maintenance,2025-04-02,2025-04-15,Medium,HRMS,"Nessus, Tenable, Java",Online,Success (Last: 2025-04-16),"CrowdStrikeSensor, W3SVC, Ansible",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-770,Windows Server,2019,SQL Server,10.0.4.9,SYS-000770,user7@example.com,QA,DAL1-RK06-U07,Maintenance,2025-03-29,2025-04-19,Medium,Billing,"Tenable, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-18),"CrowdStrikeSensor, W3SVC, Docker",Windows Server,"CROWDSTRIKE, DOCKER, NODE.JS, SQL SERVER"
dc-server-771,Linux Server,Ubuntu 20.04,Apache,10.0.4.10,SYS-000771,user93@example.com,QA,DAL1-RK07-U16,In Use,2025-04-05,2025-04-16,Low,Web Portal,".NET, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-18),"MSSQL, Docker, Puppet",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER"
dc-server-772,Linux Server,Debian 11,Redis,10.0.4.11,SYS-000772,user93@example.com,QA,DAL1-RK03-U18,In Use,2025-03-27,2025-04-16,Low,ERP,".NET, Tenable, CrowdStrike",Online,Success (Last: 2025-04-17),"MSSQL, Docker, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, DOCKER, REDIS"
dc-server-773,Windows Server,2022,IIS,10.0.4.12,SYS-000773,user41@example.com,QA,DAL1-RK16-U05,Maintenance,2025-04-15,2025-04-16,Low,HRMS,"Nessus, .NET, Tenable",Offline,Success (Last: 2025-04-21),"Docker, W3SVC, Puppet",Windows Server,".NET, DOCKER, IIS"
dc-server-774,Windows Server,2022,Docker,10.0.4.13,SYS-000774,user43@example.com,Production,DAL1-RK14-U02,In Use,2025-04-14,2025-04-17,Low,Analytics,"Node.js, CrowdStrike, .NET",Offline,Success (Last: 2025-04-17),"MSSQL, W3SVC, Ansible",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-775,Windows Server,2019,SQL Server,10.0.4.14,SYS-000775,user69@example.com,Production,DAL1-RK05-U10,In Use,2025-04-09,2025-04-16,High,HRMS,"Node.js, Tenable, CrowdStrike",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, Ansible, MSSQL",Windows Server,"CROWDSTRIKE, NODE.JS, SQL SERVER"
dc-server-776,Windows Server,2019,Nginx,10.0.4.15,SYS-000776,user13@example.com,Dev,DAL1-RK03-U01,Maintenance,2025-04-13,2025-04-20,High,Web Portal,"Java, CrowdStrike, .NET",Offline,Success (Last: 2025-04-18),"Docker, MSSQL, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NGINX"
dc-server-777,Windows Server,2022,Tomcat,10.0.4.16,SYS-000777,user56@example.com,Production,DAL1-RK20-U07,In Use,2025-03-24,2025-04-21,High,HRMS,"Node.js, Java, CrowdStrike",Online,Success (Last: 2025-04-16),"W3SVC, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS, TOMCAT"
dc-server-778,Linux Server,Ubuntu 20.04,Redis,10.0.4.17,SYS-000778,user31@example.com,Dev,DAL1-RK13-U08,In Use,2025-04-19,2025-04-18,Low,Analytics,"Java, Node.js, Tenable",Online,Success (Last: 2025-04-21),"Puppet, Docker, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, REDIS"
dc-server-779,Linux Server,Debian 11,Node.js,10.0.4.18,SYS-000779,user80@example.com,Dev,DAL1-RK02-U02,In Use,2025-03-22,2025-04-20,Low,Web Portal,"Tenable, .NET, CrowdStrike",Online,Success (Last: 2025-04-21),"W3SVC, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-780,Linux Server,Ubuntu 20.04,Docker,10.0.4.19,SYS-000780,user84@example.com,QA,DAL1-RK13-U09,In Use,2025-03-22,2025-04-14,Low,Analytics,"Nessus, .NET, CrowdStrike",Offline,Success (Last: 2025-04-20),"MSSQL, W3SVC, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER"
dc-server-781,Windows Server,2022,Redis,10.0.4.20,SYS-000781,user24@example.com,QA,DAL1-RK08-U09,Maintenance,2025-04-15,2025-04-15,Low,Billing,"Tenable, .NET, Nessus",Offline,Success (Last: 2025-04-17),"Puppet, MSSQL, W3SVC",Windows Server,".NET, REDIS"
dc-server-782,Linux Server,RHEL 8,Tomcat,10.0.4.21,SYS-000782,user12@example.com,QA,DAL1-RK14-U13,In Use,2025-03-29,2025-04-20,Medium,HRMS,"CrowdStrike, .NET, Nessus",Online,Success (Last: 2025-04-20),"Ansible, W3SVC, Puppet",Windows Server,".NET, CROWDSTRIKE, TOMCAT"
